x=1, n=13, |dx| = 0.5
9,8.7470625765269905644780377379783565279624608894259628997677648880e-13,1.1246393304129132409366833497234996774135065568599021746322246098e-13
relative error = 1.2968240473e-34

x=9, n=8, |dx| = 0.5
i,p_i,q_i
0,2.1406414779556099965363450527747404261006978069172192583370899080e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0641116823385912243963160115471706641559319955330011281311847585e0,4.4220374004366051287638769544438831292045468033664189043108989604e-1
2,2.1576073691465705263493303115823441867539254500587835772930633018e-1,7.9739249132831330867106056664800698394707734236175645144350706768e-2
3,2.2991616563102686444080521628995500030454015425526503673138122020e-2,7.5360398150631596007948096050363867982571180408216948003587754880e-3
4,1.3807822548013260162647431014659650317078705402807779837413206499e-3,3.9899879626870762619464684096393300084924125737948690828938293310e-4
5,4.6445977099244345189234993780770323018485121343476791946266569168e-5,1.1704081619409096531212329259617094472494264509424270502974060438e-5
6,8.1388136843158736280585471529926641666673119792940069529669561804e-7,1.7537589159681922760402197270670434704874444383072895416765875900e-7
7,6.2096251815197818945421336285390296670630170470154825310090644353e-9,1.1001061531171484618267209776916335023376739648658316150683771732e-9
8,1.2813333002010748918867366244711268930692534991240520006149683645e-11,1.6757355406563613754726991790327153166284246531372644065660641408e-12
relative error = 1.0083407422e-31

x=10, n=8, |dx| = 0.5
i,p_i,q_i
0,2.2517525890667211076474561638858515372118089180283303694482010191e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0057663820652975142744073920859421712830250198838205590906666831e0,3.9995515082626438471467996303686657567874218870534015161256784245e-1
2,1.8346200515543573174719068733684382123114946377603179492139159653e-1,6.5249222185781216220899782131537796581092308597197932688343227733e-2
3,1.7604962659022435465105666375344853239350777515579120558048869883e-2,5.5805465065176047906018189057733984558351298746786027598261619845e-3
4,9.5284834502879037607356641879020093312627578918272342573175313681e-4,2.6744960436187737414566737448183329485927230462577681635817800427e-4
5,2.8902830839229874648266342261729815258139109345592330400182341472e-5,7.1029923516794268060728671540098856558085635160638157650715461474e-6
6,4.5690034146403545704835109621933592765500473687825515205897677086e-7,9.6381703231959748542896045491371571909055229310211472983091140885e-8
7,3.1451862564888971939377874633386897242686394680835292950292687666e-9,5.4759227857523333340378513272580509834719537279176843056133124579e-10
8,5.8522854247886087445660033891195756648345303672195620175817510824e-12,7.5560325044313885872711067841287827112121112558042670148069958553e-13
relative error = 1.6941073460e-32

x=11, n=8, |dx| = 0.5
i,p_i,q_i
0,2.3517525890667211076474561638858515372118089180283303694482010191e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.5326036908000404466923032903287765974417040366798688689166544331e-1,3.6487428030805220149491145150321414482312114246639506283798348520e-1
2,1.5793699440736415762028220171496443521029991479707739029459642247e-1,5.4316157339513217881670768481300939133854428531472515619984998109e-2
3,1.3775436428067542304090329564468151900595469018380930797614251432e-2,4.2397072743397622862023768401622624120746395779233901031287745838e-3
4,6.7806874352940690919346024344601713359249313493217495697253107888e-4,1.8547443165998874688304705817287041132730797706784680717460731054e-4
5,1.8713597796357836736197982562444640545462572159063033509825803820e-5,4.4971525382914908120330115878309159444456176665224321341776301667e-6
6,2.6923087613563026416469221453108442009683141576905224482000676773e-7,5.5719852754348145664941913236999561707491826134200624991895363912e-8
7,1.6867624595691482435812119532880767475880245428725126957614216366e-9,2.8910149189935512146835030381543255420140474029019355856976031843e-10
8,2.8549531407259061136179360816344153824262204068258933160870993473e-12,3.6434826666619963902275521606864733827962218210766175000157494976e-13
relative error = 3.3289495211e-33

x=12, n=8, |dx| = 0.5
i,p_i,q_i
0,2.4426616799758120167383652547949424463027180089374212785391101100e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.0595142373846924719842462582456824796878207728322324741823210845e-1,3.3531027140639932406863509470072373316677120972333445288731935919e-1
2,1.3742940695541798441551420829347075243452204900175134121378026705e-1,4.5877789781624634095746221357126069633515545119839555250176197315e-2
3,1.0980786918818237364532068259124670029775712911796170589621472306e-2,3.2918598584359394140637082579777376501668145000504649284679088348e-3
4,4.9535640709242536249910049324883223813985775601683413134445477763e-4,1.3239743328318608222028080683662270833087901606477510511164744975e-4
5,1.2532987401158005336956580550589272754456643700069376478945162181e-5,2.9517327001306726564192423148547527631504721845572081290964492231e-6
6,1.6533225962554803647213588642726513683395426750078091361017846826e-7,3.3631238908721486273161186610963598461205632513898248334051544913e-8
7,9.4976694193757488467992387437079345901747009737502311178858106614e-10,1.6048043344380092553738244455819081236385336348472442275886774077e-10
8,1.4731903323149349068495212066526969626016797778156318952889764500e-12,1.8602375392968332219849122346708520523646472033415865214028610222e-13
relative error = 7.4665339106e-34

x=13, n=8, |dx| = 0.5
i,p_i,q_i
0,2.5259950133091453500716985881282757796360513422707546118724434433e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.6321219322557763406080400387800290048050285359219123235981445804e-1,3.1007771617575818374680247564331227130273040306061165363613760101e-1
