x=2, n=14, |dx| = 0.5
relative error = 3.6149225242e-35

x=16, n=7, |dx| = 0.5
i,p_i,q_i
0,2.7899271383840891566089439263670466759193393145566204340029983300e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.0732121086227736318673954792612218138309354277354994871294180887e0,1.9112322708842117698605521863890290709174913155148792614968218363e-1
2,9.4752674544396502453468909526114184033817091711752727368460088683e-1,1.4029346342239199461642810466998091000584335199984827991665475898e-2
3,5.7723690730215896599264350987817199796627313361663074280483355661e-2,4.9459847572042788275842233488491901695781691454242722978172772050e-4
4,1.9355916291982412943742376917572988895588844863149250123486484693e-3,8.5165235811763342608515157356794343075265420001067572145299455307e-6
5,3.4752570457023107505575837980672971491224298579343708172917233239e-5,6.3690309523928590181756148318115597746341573577851256114676790882e-8
6,2.9570640984064518185557510942291396986873296125242167746240748361e-7,1.3909937063371492545269311595390372012988757926515140316055065678e-10
7,8.4614866103844253091205089285323426842048206580885851258195060424e-10,-2.6756031654071250119736419517833105146806446517892808607896877161e-14
relative error = 1.8029338427e-31

