x=1, n=9, |dx| = 0.5
3,4.2902512403321389118088872154400225827435941265359914976876021174e3,-2.6035671787903638031211646358255254206955189757467138439636957225e-1
4,8.3422506461891797041067739840125530851302650292736307199728288421e2,6.1131593418738286856401171999588772262134331651594164624421634195e-2
5,1.1591866571850492072461799345745631898842504714927695311731500942e2,-9.8244533813373952378589352050614767188050006257475471605511476846e-3
6,1.1275895850712633851914589368155060363899028473265922958618107326e1,1.0618467307423040673542746833607844485456571843007378330208860239e-3
7,7.0569581821448045030552306224142758072789510698555906767916419777e-1,-7.1089007258446088825481306733300807187372462016368429518834696658e-5
8,2.1936121487097173966657740337733174114244224482230437868595682006e-2,2.2774201978454011992035974516657844713245219807526213638206872375e-6
relative error = 1.6290777576e-18

x=10, n=8, |dx| = 0.5
i,p_i,q_i
0,3.6288000000000000000000000000000000000000000000000000000000000000e5,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.4699126484461039618529259391590902721937718276266761171302872766e5,-1.2955376837409649453202609646025925336310737362529015452831086258e0
2,1.6187972132084923144045547736486000930362804807741316433247840132e5,7.7554942020488868782668940332376145310073304787922196763780522893e-1
3,4.7869645094841279942451813298438349829143301852119866852492806408e4,-2.8130539468673753463690533703023612483325249148422950309947041917e-1
4,9.8089999872620384469206172126420746700191705426226558103592700423e3,6.7928808872260893439945498968365833078785048447981417330662598055e-2
5,1.4290253250355422279516680927162201713606238211355821847546092960e3,-1.1242086593593079431456420380980383714279866231210858020691976839e-2
6,1.4513108374567038905227128696385194742148865182221593025700558581e2,1.2530967819309371691802671798403400662660526189794383079188569272e-3
7,9.4508743457068423582252678010901674055254789730566631792678391549e0,-8.6659814048297153287811940722702459071322732330887478432800763201e-5
8,3.0462569898880897069540954859021710696315730365351807749281194607e-1,2.8730825466995086804419444998151245856205722507782918649935773031e-6
relative error = 3.2035433736e-18

x=11, n=8, |dx| = 0.5
i,p_i,q_i
0,3.6288000000000000000000000000000000000000000000000000000000000000e6,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.7220513553870930157108609121926385447841081712873586330288718800e6,-1.3260550153820063215719323234447584638034898672987892999406856200e0
2,1.8420929425543919022662659858841979824727927480229191397955866726e6,8.1323146031991698803077019221646939804529039743720292337481789884e-1
3,5.7382226212547249740453587662063107397564579624032109978135590250e5,-3.0247598982281396741665414976994974860107305089644662925612847874e-1
4,1.2321747001872011479205875232455569922911194243879207144497134330e5,7.4976981848819939992765241910396757955013412905134719778462221736e-2
5,1.8735143501168483204882022055202363564426845815954872379413035817e4,-1.2752011579973419193471691373549393630554867194790420191714865206e-2
6,1.9793214263365571666920064915726182016300412898693947658029271508e3,1.4625868311037209253878969711673610749404493419363950304722500367e-3
7,1.3371479804617745257998689967445041986355989634588541860018441122e2,-1.0422379413623078569830789590345096385461080800491023761670992883e-4
8,4.4607222956750013592811579292951688642682298220821210111748502923e0,3.5660399428194608900860171556713195646570436101054024168932914358e-6
relative error = 5.8728638972e-18

x=12, n=8, |dx| = 0.5
i,p_i,q_i
0,3.9916800000000000000000000000000000000000000000000000000000000000e7,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.3397861000573031045909791507263600142586352803285702239394574366e7,-1.3554537624931222458672084609822219841768373570994557542637530081e0
2,2.2600346112744043018994736850122255429837707469538312990435495061e7,8.5035230713893313774613272412797712483044362687772865849179983681e-1
3,7.3696660647950276252838979382014930429260381671301306813371386105e6,-3.2381970369271045050267359418071103350565828038412962199169981934e-1
4,1.6499543404709932274482447469892770150597995233256749557728138823e6,8.2255595574661456801167811208251385361230923554413254785606899557e-2
5,2.6072845474995470611499165973525527969263008035681227759319603289e5,-1.4350752022503558354077233099231527616080701651613728504723904959e-2
6,2.8550985691264584012567396765989210686323336858814717809862753536e4,1.6902486092101648492354325139156613488927450202103572125334723265e-3
7,1.9946977865428807369865029198940851529727887215644803110124836400e3,-1.2383714082454591759332839794107161620559384882987650857100064487e-4
8,6.8683241564310848297328604067708697212809482195205446198634598715e1,4.3621748067693185463177001503547781512250814381929709288269845418e-6
relative error = 1.0161958773e-17

x=13, n=8, |dx| = 0.5
i,p_i,q_i
0,4.7900160000000000000000000000000000000000000000000000000000000000e8,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.4714277327254583129310302792167357967007591813209668814687498762e8,-1.3837383417812301379030899072351982206674050618990466924273414069e0
